bedrooms,washrooms,floors,area_sqft,parking,furnishing,year_built,price,city
3,2,2,1200,1,Fully-Furnished,2015,8500000,Mumbai
2,1,1,850,0,Semi-Furnished,2008,4200000,Delhi
4,3,3,1800,2,Fully-Furnished,2010,12500000,Bangalore
2,2,1,950,1,Unfurnished,2000,3800000,Chennai
3,2,2,1300,1,Semi-Furnished,2012,7500000,Hyderabad
1,1,1,600,0,Unfurnished,1995,2500000,Pune
3,3,2,1500,2,Fully-Furnished,2018,9500000,Kolkata
2,1,1,700,0,Semi-Furnished,2003,3000000,Delhi
4,3,3,1900,2,Fully-Furnished,2016,13000000,Mumbai
3,2,2,1400,1,Unfurnished,2007,6000000,Bangalore
2,2,1,850,1,Semi-Furnished,2011,4800000,Chennai
3,2,2,1250,1,Fully-Furnished,2013,8000000,Hyderabad
1,1,1,550,0,Unfurnished,1990,2300000,Pune
4,3,3,2000,2,Fully-Furnished,2019,14000000,Kolkata
2,1,1,750,0,Semi-Furnished,2005,3200000,Delhi
3,2,2,1350,1,Fully-Furnished,2014,8200000,Mumbai
3,2,2,1200,1,Semi-Furnished,2010,6700000,Bangalore
2,2,1,900,1,Unfurnished,2006,4100000,Chennai
3,3,2,1600,2,Fully-Furnished,2017,11000000,Hyderabad
1,1,1,500,0,Unfurnished,1985,2100000,Pune
4,3,3,1950,2,Fully-Furnished,2018,13500000,Kolkata
2,1,1,800,0,Semi-Furnished,2009,3700000,Delhi
3,2,2,1300,1,Fully-Furnished,2012,7900000,Mumbai
3,2,2,1150,1,Semi-Furnished,2011,6600000,Bangalore
2,2,1,875,1,Unfurnished,2004,3900000,Chennai
4,3,3,1850,2,Fully-Furnished,2015,12500000,Hyderabad
1,1,1,520,0,Unfurnished,1992,2400000,Pune
3,2,2,1400,1,Fully-Furnished,2016,8800000,Kolkata
2,1,1,700,0,Semi-Furnished,2007,3100000,Delhi
3,2,2,1250,1,Fully-Furnished,2013,7800000,Mumbai
4,3,3,1950,2,Fully-Furnished,2019,13800000,Bangalore
2,2,1,900,1,Semi-Furnished,2008,4400000,Chennai
3,3,2,1500,2,Fully-Furnished,2017,10500000,Hyderabad
1,1,1,560,0,Unfurnished,1993,2200000,Pune
4,3,3,1900,2,Fully-Furnished,2016,13000000,Kolkata
2,1,1,780,0,Semi-Furnished,2006,3500000,Delhi
3,2,2,1350,1,Fully-Furnished,2014,8400000,Mumbai
3,2,2,1200,1,Semi-Furnished,2010,6700000,Bangalore
2,2,1,875,1,Unfurnished,2005,4000000,Chennai
4,3,3,1850,2,Fully-Furnished,2015,12700000,Hyderabad
1,1,1,530,0,Unfurnished,1991,2300000,Pune
3,2,2,1400,1,Fully-Furnished,2016,8900000,Kolkata
2,1,1,700,0,Semi-Furnished,2007,3200000,Delhi
3,2,2,1250,1,Fully-Furnished,2013,7800000,Mumbai
4,3,3,2000,2,Fully-Furnished,2019,14000000,Bangalore
2,2,1,900,1,Semi-Furnished,2008,4500000,Chennai
3,3,2,1600,2,Fully-Furnished,2017,11200000,Hyderabad
1,1,1,550,0,Unfurnished,1989,2100000,Pune
4,3,3,1950,2,Fully-Furnished,2018,13400000,Kolkata
2,1,1,800,0,Semi-Furnished,2005,3600000,Delhi
3,2,2,1300,1,Fully-Furnished,2012,8000000,Mumbai
3,2,2,1150,1,Semi-Furnished,2011,6600000,Bangalore
2,2,1,875,1,Unfurnished,2004,3900000,Chennai
4,3,3,1850,2,Fully-Furnished,2015,12400000,Hyderabad
1,1,1,520,0,Unfurnished,1990,2200000,Pune
3,2,2,1400,1,Fully-Furnished,2016,8800000,Kolkata
2,1,1,700,0,Semi-Furnished,2007,3100000,Delhi
3,2,2,1250,1,Fully-Furnished,2013,7700000,Mumbai
4,3,3,1950,2,Fully-Furnished,2019,13600000,Bangalore
2,2,1,900,1,Semi-Furnished,2008,4400000,Chennai
3,3,2,1500,2,Fully-Furnished,2017,10500000,Hyderabad
1,1,1,560,0,Unfurnished,1992,2300000,Pune
4,3,3,1900,2,Fully-Furnished,2016,13000000,Kolkata
2,1,1,780,0,Semi-Furnished,2006,3500000,Delhi
3,2,2,1350,1,Fully-Furnished,2014,8300000,Mumbai
3,2,2,1200,1,Semi-Furnished,2010,6700000,Bangalore
2,2,1,875,1,Unfurnished,2005,4000000,Chennai
4,3,3,1850,2,Fully-Furnished,2015,12500000,Hyderabad
1,1,1,530,0,Unfurnished,1991,2300000,Pune
3,2,2,1400,1,Fully-Furnished,2016,8900000,Kolkata
2,1,1,700,0,Semi-Furnished,2007,3200000,Delhi
3,2,2,1250,1,Fully-Furnished,2013,7800000,Mumbai
4,3,3,2000,2,Fully-Furnished,2019,14000000,Bangalore
